No,Label,Latitude,Longitude,Altitude,Distance Previous (m),Distance Total (m),Line
1,L1,-2.77202422,107.66158614,0.000,0.000,0.000,1
2,L2,-2.77193462,107.66157441,0.000,10.000,10.000,1
3,L3,-2.77184502,107.66156268,0.000,10.000,20.000,1
4,L4,-2.77175542,107.66155095,0.000,10.000,30.000,1
5,L5,-2.77166582,107.66153922,0.000,10.000,40.000,1
6,L6,-2.77157629,107.66153005,0.000,10.000,50.000,1
7,L7,-2.77148747,107.66154662,0.000,10.000,60.000,1
8,L8,-2.77139864,107.66156319,0.000,10.000,70.000,1
9,L9,-2.77130982,107.66157976,0.000,10.000,80.000,1
10,L10,-2.77123462,107.66162241,0.000,10.000,90.000,1
11,L11,-2.77116990,107.66168515,0.000,10.000,100.000,1
12,L12,-2.77110519,107.66174788,0.000,10.000,110.000,1
13,L13,-2.77104048,107.66181062,0.000,10.000,120.000,1
14,L14,-2.77097349,107.66187011,0.000,10.000,130.000,1
15,L15,-2.77089197,107.66190891,0.000,10.000,140.000,1
16,L16,-2.77081045,107.66194770,0.000,10.000,150.000,1
17,L17,-2.77072893,107.66198650,0.000,10.000,160.000,1
18,L18,-2.77064741,107.66202529,0.000,10.000,170.000,1
19,L19,-2.77056942,107.66207013,0.000,10.000,180.000,1
20,L20,-2.77049506,107.66212122,0.000,10.000,190.000,1
21,L21,-2.77042071,107.66217230,0.000,10.000,200.000,1
22,L22,-2.77034635,107.66222338,0.000,10.000,210.000,1
23,L23,-2.77027200,107.66227447,0.000,10.000,220.000,1
24,L24,-2.77020295,107.66233233,0.000,10.000,230.000,1
25,L25,-2.77013493,107.66239150,0.000,10.000,240.000,1
26,L26,-2.77006691,107.66245068,0.000,10.000,250.000,1
27,L27,-2.76999889,107.66250985,0.000,10.000,260.000,1
28,L28,-2.76992718,107.66256425,0.000,10.000,270.000,1
29,L29,-2.76985218,107.66261439,0.000,10.000,280.000,1
30,L30,-2.76977717,107.66266453,0.000,10.000,290.000,1
31,L31,-2.76970217,107.66271466,0.000,10.000,300.000,1
32,L32,-2.76962472,107.66276050,0.000,10.000,310.000,1
33,L33,-2.76954289,107.66279865,0.000,10.000,320.000,1
34,L34,-2.76946106,107.66283680,0.000,10.000,330.000,1
35,L35,-2.76937924,107.66287495,0.000,10.000,340.000,1
36,L36,-2.76929741,107.66291310,0.000,10.000,350.000,1
37,L37,-2.76923485,107.66297189,0.000,10.000,360.000,1
38,L38,-2.76919054,107.66305021,0.000,10.000,370.000,1
39,L39,-2.76914622,107.66312854,0.000,10.000,380.000,1
40,L40,-2.76914468,107.66321244,0.000,10.000,390.000,1
41,L41,-2.76916720,107.66329948,0.000,10.000,400.000,1
42,L42,-2.76918973,107.66338652,0.000,10.000,410.000,1
43,L43,-2.76921226,107.66347356,0.000,10.000,420.000,1
44,L44,-2.76923498,107.66356053,0.000,10.000,430.000,1
45,L45,-2.76926788,107.66364424,0.000,10.000,440.000,1
46,L46,-2.76930078,107.66372795,0.000,10.000,450.000,1
47,L47,-2.76933367,107.66381165,0.000,10.000,460.000,1
48,L48,-2.76936657,107.66389536,0.000,10.000,470.000,1
49,L49,-2.76940650,107.66397582,0.000,10.000,480.000,1
50,L50,-2.76944955,107.66405485,0.000,10.000,490.000,1
51,L51,-2.76949260,107.66413387,0.000,10.000,500.000,1
52,L52,-2.76953564,107.66421289,0.000,10.000,510.000,1
53,L53,-2.76956879,107.66429551,0.000,10.000,520.000,1
54,L54,-2.76958703,107.66438353,0.000,10.000,530.000,1
55,L55,-2.76960527,107.66447156,0.000,10.000,540.000,1
56,L56,-2.76962352,107.66455958,0.000,10.000,550.000,1
57,L57,-2.76963833,107.66464803,0.000,10.000,560.000,1
58,L58,-2.76964245,107.66473781,0.000,10.000,570.000,1
59,L59,-2.76964657,107.66482759,0.000,10.000,580.000,1
60,L60,-2.76965069,107.66491738,0.000,10.000,590.000,1
61,L61,-2.76965452,107.66500712,0.000,10.000,600.000,1
62,L62,-2.76962973,107.66509355,0.000,10.000,610.000,1
63,L63,-2.76960493,107.66517997,0.000,10.000,620.000,1
64,L64,-2.76958013,107.66526640,0.000,10.000,630.000,1
65,L65,-2.76955534,107.66535282,0.000,10.000,640.000,1
66,L66,-2.76948869,107.66541043,0.000,10.000,650.000,1
67,L67,-2.76941607,107.66546393,0.000,10.000,660.000,1
68,L68,-2.76934345,107.66551743,0.000,10.000,670.000,1
69,L69,-2.76927084,107.66557093,0.000,10.000,680.000,1
70,L70,-2.76920150,107.66562764,0.000,10.000,690.000,1
71,L71,-2.76914894,107.66570075,0.000,10.000,700.000,1
72,L72,-2.76909637,107.66577385,0.000,10.000,710.000,1
73,L73,-2.76904381,107.66584696,0.000,10.000,720.000,1
74,L74,-2.76899125,107.66592007,0.000,10.000,730.000,1
