No,Label,Latitude,Longitude,Altitude,Distance Previous (m),Distance Total (m),Line
1,L1,-2.77202422,107.66158614,0.000,0.000,0.000,1
2,L2,-2.77116990,107.66168515,0.000,100.000,100.000,1
3,L3,-2.77042071,107.66217230,0.000,100.000,200.000,1
4,L4,-2.76970217,107.66271466,0.000,100.000,300.000,1
5,L5,-2.76916720,107.66329948,0.000,100.000,400.000,1
6,L6,-2.76949260,107.66413387,0.000,100.000,500.000,1
7,L7,-2.76965452,107.66500712,0.000,100.000,600.000,1
8,L8,-2.76914894,107.66570075,0.000,100.000,700.000,1
